iter	Passed	Remaining
455	947	1130
456	949	1128
457	951	1125
458	953	1123
459	955	1121
460	957	1119
461	959	1116
462	960	1114
463	962	1112
464	964	1109
465	966	1107
466	968	1104
467	970	1102
468	972	1100
469	973	1098
470	975	1095
471	977	1093
472	979	1091
473	981	1088
474	982	1086
475	984	1083
476	986	1081
477	988	1079
478	990	1077
479	992	1074
480	993	1072
481	995	1070
482	997	1068
483	999	1065
484	1001	1063
485	1002	1060
486	1005	1058
487	1007	1056
488	1008	1054
489	1010	1051
490	1012	1049
491	1014	1047
492	1016	1045
493	1017	1042
494	1019	1040
495	1021	1038
496	1023	1035
497	1025	1033
498	1027	1031
499	1029	1029
500	1030	1026
501	1032	1024
502	1034	1022
503	1036	1020
504	1038	1017
505	1039	1015
506	1042	1013
507	1044	1011
508	1046	1009
509	1047	1006
510	1050	1004
511	1051	1002
512	1054	1000
513	1055	998
514	1057	996
515	1059	993
516	1061	991
517	1063	989
518	1065	987
519	1066	984
520	1068	982
521	1070	980
522	1072	978
523	1074	976
524	1077	974
525	1079	972
526	1081	971
527	1083	968
528	1086	967
529	1089	966
530	1091	964
531	1094	962
532	1097	961
533	1099	959
534	1101	957
535	1103	955
536	1105	953
537	1107	951
538	1109	948
539	1111	946
540	1113	944
541	1115	942
542	1117	940
543	1119	938
544	1121	935
545	1122	933
546	1124	931
547	1126	929
548	1128	926
549	1130	925
550	1132	922
551	1133	920
552	1136	918
553	1137	916
554	1139	913
555	1141	911
556	1143	909
557	1145	907
558	1147	905
559	1148	902
560	1150	900
561	1152	898
562	1154	896
563	1156	893
564	1158	891
565	1160	889
566	1162	887
567	1163	885
568	1165	882
569	1167	880
570	1169	878
571	1171	876
572	1173	874
573	1175	872
574	1177	869
575	1178	867
576	1180	865
577	1182	863
578	1184	861
579	1186	859
580	1188	856
581	1190	854
582	1192	852
583	1194	851
584	1196	849
585	1199	847
586	1201	845
587	1204	843
588	1206	841
589	1208	839
590	1210	837
591	1212	835
592	1215	834
593	1217	832
594	1219	829
595	1221	827
596	1223	825
597	1225	823
598	1227	821
599	1229	819
600	1231	817
601	1233	815
602	1235	813
603	1238	811
604	1240	809
605	1241	807
606	1243	805
607	1245	803
608	1248	801
609	1249	799
610	1251	796
611	1254	795
612	1255	792
613	1257	790
614	1259	788
615	1261	786
616	1263	784
617	1265	782
618	1267	780
619	1269	778
620	1271	776
621	1273	774
622	1275	771
623	1277	769
624	1279	767
625	1281	765
626	1283	763
627	1285	761
628	1287	759
629	1289	757
630	1291	755
631	1293	753
632	1295	750
633	1297	748
634	1299	747
635	1301	744
636	1303	742
637	1305	740
638	1307	738
639	1309	736
640	1311	734
641	1313	732
642	1314	730
643	1316	728
644	1318	725
645	1320	723
646	1322	721
647	1324	719
648	1326	717
649	1328	715
650	1330	713
651	1332	711
652	1334	709
653	1336	706
654	1337	704
655	1339	702
656	1341	700
657	1343	698
658	1345	695
659	1346	693
660	1348	691
661	1350	689
662	1352	687
663	1354	685
664	1356	683
665	1357	681
666	1359	678
667	1361	676
668	1363	674
669	1365	672
670	1367	670
671	1369	668
672	1371	666
673	1373	664
674	1375	662
675	1376	659
676	1378	657
677	1381	655
678	1382	653
679	1384	651
680	1386	649
681	1389	647
682	1390	645
683	1392	643
684	1394	641
685	1396	639
686	1398	637
687	1400	635
688	1402	632
689	1404	630
690	1406	628
691	1408	626
692	1409	624
693	1411	622
694	1413	620
695	1415	618
696	1417	616
697	1419	614
698	1421	612
699	1423	609
700	1424	607
701	1426	605
702	1429	603
703	1430	601
704	1432	599
705	1434	597
706	1436	595
707	1438	593
708	1440	591
709	1442	589
710	1444	587
711	1446	585
712	1448	583
713	1450	580
714	1452	578
715	1454	576
716	1455	574
717	1457	572
718	1460	570
719	1462	568
720	1464	566
721	1466	564
722	1468	562
723	1470	560
724	1472	558
725	1474	556
726	1476	554
727	1478	552
728	1480	550
729	1482	548
730	1484	546
731	1486	544
732	1487	542
733	1489	539
734	1491	537
735	1494	536
736	1496	534
737	1498	531
738	1500	529
739	1501	527
740	1503	525
741	1505	523
742	1507	521
743	1509	519
744	1511	517
745	1513	515
746	1515	513
747	1517	511
748	1519	509
749	1520	506
750	1522	504
751	1524	502
752	1526	500
753	1528	498
754	1530	496
755	1532	494
756	1534	492
757	1536	490
758	1538	488
759	1539	486
760	1541	484
761	1544	482
762	1546	480
763	1548	478
764	1550	476
765	1552	474
766	1554	472
767	1556	470
768	1558	468
769	1560	466
770	1562	464
771	1564	461
772	1566	459
773	1567	457
774	1569	455
775	1571	453
776	1573	451
777	1575	449
778	1577	447
779	1579	445
780	1581	443
781	1583	441
782	1585	439
783	1586	437
784	1589	435
785	1591	433
786	1592	431
787	1594	429
788	1596	427
789	1598	424
790	1600	422
791	1602	420
792	1603	418
793	1605	416
794	1607	414
795	1609	412
796	1610	410
797	1612	408
798	1614	406
799	1616	404
800	1618	402
801	1620	399
802	1622	397
803	1623	395
804	1625	393
805	1627	391
806	1629	389
807	1631	387
808	1632	385
809	1634	383
810	1636	381
811	1639	379
812	1640	377
813	1642	375
814	1644	373
815	1646	371
816	1647	369
817	1649	367
818	1651	364
819	1653	362
820	1655	360
821	1657	358
822	1658	356
823	1660	354
824	1662	352
825	1664	350
826	1666	348
827	1668	346
828	1669	344
829	1672	342
830	1673	340
831	1675	338
832	1677	336
833	1679	334
834	1680	332
835	1682	330
836	1684	328
837	1686	325
838	1688	324
839	1690	321
840	1692	319
841	1693	317
842	1696	315
843	1698	313
844	1699	311
845	1701	309
846	1703	307
847	1705	305
848	1707	303
849	1708	301
850	1710	299
851	1712	297
852	1714	295
853	1716	293
854	1719	291
855	1720	289
856	1722	287
857	1724	285
858	1726	283
859	1728	281
860	1730	279
861	1731	277
862	1733	275
863	1735	273
864	1737	271
865	1739	269
866	1740	267
867	1742	265
868	1744	263
869	1746	260
870	1748	258
871	1749	256
872	1751	254
873	1753	252
874	1755	250
875	1757	248
876	1759	246
877	1761	244
878	1763	242
879	1765	240
880	1767	238
881	1769	236
882	1771	234
883	1773	232
884	1775	230
885	1777	228
886	1779	226
887	1781	224
888	1783	222
889	1785	220
890	1787	218
891	1789	216
892	1791	214
893	1793	212
894	1795	210
895	1797	208
896	1799	206
897	1801	204
898	1803	202
899	1805	200
900	1807	198
901	1809	196
902	1811	194
903	1812	192
904	1815	190
905	1816	188
906	1818	186
907	1820	184
908	1822	182
909	1824	180
910	1826	178
911	1828	176
912	1830	174
913	1832	172
914	1834	170
915	1836	168
916	1838	166
917	1840	164
918	1842	162
919	1844	160
920	1846	158
921	1848	156
922	1850	154
923	1852	152
924	1854	150
925	1855	148
926	1857	146
927	1859	144
928	1861	142
929	1863	140
930	1865	138
931	1867	136
932	1868	134
933	1870	132
934	1872	130
935	1874	128
936	1876	126
937	1878	124
938	1880	122
939	1882	120
940	1884	118
941	1886	116
942	1888	114
943	1889	112
944	1891	110
945	1893	108
946	1895	106
947	1897	104
948	1899	102
949	1901	100
950	1903	98
951	1904	96
952	1906	94
953	1908	92
954	1910	90
955	1911	87
956	1913	85
957	1915	83
958	1918	82
959	1919	79
960	1921	77
961	1923	75
962	1925	73
963	1927	71
964	1928	69
965	1930	67
966	1932	65
967	1934	63
968	1936	61
969	1937	59
970	1939	57
971	1941	55
972	1943	53
973	1945	51
974	1946	49
975	1948	47
976	1950	45
977	1952	43
978	1954	41
979	1956	39
980	1958	37
981	1960	35
982	1961	33
983	1963	31
984	1966	29
985	1967	27
986	1969	25
987	1971	23
988	1973	21
989	1975	19
990	1976	17
991	1978	15
992	1980	13
993	1983	11
994	1985	9
995	1986	7
996	1988	5
997	1990	3
998	1992	1
999	1994	0
