iter	Logloss
0	0.6543439408
1	0.6244617889
2	0.6014690492
3	0.5825542509
4	0.5681954203
5	0.557407296
6	0.550267946
7	0.5405827608
8	0.5346669797
9	0.5302336495
10	0.5250816093
11	0.5198743133
12	0.5174532847
13	0.514514863
14	0.5126844439
15	0.5103371204
16	0.5086270229
17	0.5058926485
18	0.5044491933
19	0.5032984638
20	0.5026152629
21	0.4999768265
22	0.4989644277
23	0.4978504643
24	0.4967787313
25	0.4947097184
26	0.4930129232
27	0.4919642516
28	0.4913815396
29	0.4896185108
30	0.4881805359
31	0.4868642717
32	0.4858317742
33	0.4849549775
34	0.4840015027
35	0.482801717
36	0.4810278522
37	0.4798038484
38	0.4790883537
39	0.478313198
40	0.4772167768
41	0.4759373621
42	0.4752940713
43	0.4745465216
44	0.4735433277
45	0.4724912954
46	0.4710948604
47	0.4701301529
48	0.4695605613
49	0.4683509839
50	0.4678457502
51	0.467110696
52	0.4665169337
53	0.4658238748
54	0.4652189876
55	0.4643197762
56	0.463581996
57	0.4627464733
58	0.4619649482
59	0.4613138994
60	0.4602877002
61	0.4591572534
62	0.4585717005
63	0.4577887652
64	0.457503905
65	0.4570266657
66	0.4557973938
67	0.4549107322
68	0.4542622724
69	0.4536394994
70	0.4529673928
71	0.4524767627
72	0.451521239
73	0.4510093448
74	0.4507540794
75	0.4502396924
76	0.4493433398
77	0.4488825111
78	0.4480174597
79	0.4470465863
80	0.4465965124
81	0.4460655592
82	0.4451830694
83	0.444361172
84	0.4435021633
85	0.4427023055
86	0.4418153075
87	0.4412708493
88	0.4406770246
89	0.4402503655
90	0.4391874676
91	0.4385575207
92	0.438074691
93	0.4375805801
94	0.4370025649
95	0.4364896307
96	0.4359979898
97	0.4352893124
98	0.4347469787
99	0.4338262746
100	0.4328482442
101	0.4322624708
102	0.4317887029
103	0.431090819
104	0.4305555506
105	0.4300393881
106	0.4295266993
107	0.4287943233
108	0.4282237719
109	0.4273441015
110	0.4267888019
111	0.4260995564
112	0.4255519819
113	0.4247506271
114	0.4239975025
115	0.4232188704
116	0.4226995441
117	0.4220411327
118	0.4212313844
119	0.4207301445
120	0.420201026
121	0.4193854237
122	0.4187473493
123	0.4182039671
124	0.4176775074
125	0.4171759546
126	0.4164765704
127	0.4157778582
128	0.4150315526
129	0.4144449036
130	0.4140950815
131	0.4135544687
132	0.4129323754
133	0.4124569815
134	0.4117845302
135	0.4112038371
136	0.4102632403
137	0.409592041
138	0.4090833584
139	0.4087979966
140	0.4078256273
141	0.4073363299
142	0.4064225153
143	0.4057845744
144	0.4049420901
145	0.4040730718
146	0.4035775753
147	0.402917828
148	0.4024200385
149	0.40207577
150	0.4017008781
151	0.4010401294
152	0.4004869215
153	0.3999854306
154	0.3994918159
155	0.3988837171
156	0.3985579801
157	0.3980686446
158	0.3975597752
159	0.3971117176
160	0.3965392545
161	0.3962781256
162	0.3957371665
163	0.3954269254
164	0.3949385823
165	0.3945040565
166	0.39400008
167	0.3931714318
168	0.3926161557
169	0.3917869888
170	0.3912390216
171	0.3907182193
172	0.3903979953
173	0.3898635294
174	0.3892770607
175	0.3886419275
176	0.3879248324
177	0.3875754781
178	0.3868570352
179	0.3863090463
180	0.3856403814
181	0.385112127
182	0.3845810904
183	0.3842412665
184	0.3835357865
185	0.3831068504
186	0.382623355
187	0.3819274008
188	0.3811421308
189	0.380582369
190	0.380067295
191	0.3794811089
192	0.3790596639
193	0.3783358785
194	0.3778955411
195	0.3774455606
196	0.3769342624
197	0.3763491279
198	0.3758808496
199	0.3753366103
200	0.3746932291
201	0.3742847168
202	0.3739247178
203	0.3733546507
204	0.3729739654
205	0.3726411193
206	0.3721496801
207	0.371563354
208	0.3710450872
209	0.3705210563
210	0.3701686549
211	0.369731699
212	0.3691481969
213	0.36862502
214	0.3683395855
215	0.3680391561
216	0.3676613816
217	0.3670295437
218	0.366478124
219	0.3659472142
220	0.3652022541
221	0.364744936
222	0.3643048793
223	0.3637371559
224	0.3632595007
225	0.362985987
226	0.362480917
